Year    Week  City          vartype.table_file              run_report_file                          ENA run accession    BioSample accession    ENA project accession
2021    44    Kalmar        is_170_002.varType.table.tsv    run_report_samples_is_170_002-017.pdf    ERR11197160          SAMEA112672612         PRJEB60156
2021    44    Örebro        is_170_003.varType.table.tsv    run_report_samples_is_170_002-017.pdf    ERR11201044          SAMEA112879370         PRJEB60156
2021    44    Umeå          is_170_004.varType.table.tsv    run_report_samples_is_170_002-017.pdf    ERR11201045          SAMEA112879371         PRJEB60156
2021    46    Kalmar        is_170_005.varType.table.tsv    run_report_samples_is_170_002-017.pdf    ERR11201046          SAMEA112879372         PRJEB60156
2021    46    Örebro        is_170_006.varType.table.tsv    run_report_samples_is_170_002-017.pdf    ERR11201047          SAMEA112879373         PRJEB60156
2021    46    Umeå          is_170_007.varType.table.tsv    run_report_samples_is_170_002-017.pdf    ERR11201048          SAMEA112879374         PRJEB60156
2021    47    Uppsala       is_170_008.varType.table.tsv    run_report_samples_is_170_002-017.pdf    ERR11201049          SAMEA112879375         PRJEB60156
2021    48    Uppsala       is_170_009.varType.table.tsv    run_report_samples_is_170_002-017.pdf    ERR11197161          SAMEA112672613         PRJEB60156
2021    48    Kalmar        is_170_010.varType.table.tsv    run_report_samples_is_170_002-017.pdf    ERR11201050          SAMEA112879376         PRJEB60156
2021    48    Örebro        is_170_011.varType.table.tsv    run_report_samples_is_170_002-017.pdf    ERR11201051          SAMEA112879377         PRJEB60156
2021    48    Umeå          is_170_012.varType.table.tsv    run_report_samples_is_170_002-017.pdf    ERR11201052          SAMEA112879378         PRJEB60156
2021    49    Uppsala       is_170_013.varType.table.tsv    run_report_samples_is_170_002-017.pdf    ERR11201053          SAMEA112879379         PRJEB60156
2021    49    Uppsala       is_170_014.varType.table.tsv    run_report_samples_is_170_002-017.pdf    ERR11201054          SAMEA112879380         PRJEB60156
2021    49    Kalmar        is_170_015.varType.table.tsv    run_report_samples_is_170_002-017.pdf    ERR11201055          SAMEA112879381         PRJEB60156
2021    49    Örebro        is_170_016.varType.table.tsv    run_report_samples_is_170_002-017.pdf    ERR11201056          SAMEA112879382         PRJEB60156
2021    49    Umeå          is_170_017.varType.table.tsv    run_report_samples_is_170_002-017.pdf    ERR11201057          SAMEA112879383         PRJEB60156
2021    50    Kalmar        is_172_001.varType.table.tsv    run_report_samples_is_172_001-016.pdf    ERR11280793          SAMEA113372881         PRJEB60156
2021    51    Kalmar        is_172_002.varType.table.tsv    run_report_samples_is_172_001-016.pdf    ERR11280794          SAMEA113372882         PRJEB60156
2021    52    Kalmar        is_172_003.varType.table.tsv    run_report_samples_is_172_001-016.pdf    ERR11280795          SAMEA113372883         PRJEB60156
2022    1     Kalmar        is_172_004.varType.table.tsv    run_report_samples_is_172_001-016.pdf    ERR11280796          SAMEA113372884         PRJEB60156
2022    2     Kalmar        is_172_005.varType.table.tsv    run_report_samples_is_172_001-016.pdf    ERR11280797          SAMEA113372885         PRJEB60156
2021    50    Umeå          is_172_006.varType.table.tsv    run_report_samples_is_172_001-016.pdf    ERR11280798          SAMEA113372886         PRJEB60156
2021    51    Umeå          is_172_007.varType.table.tsv    run_report_samples_is_172_001-016.pdf    ERR11280799          SAMEA113372887         PRJEB60156
2021    52    Umeå          is_172_008.varType.table.tsv    run_report_samples_is_172_001-016.pdf    ERR11280800          SAMEA113372888         PRJEB60156
2022    1     Umeå          is_172_009.varType.table.tsv    run_report_samples_is_172_001-016.pdf    ERR11280801          SAMEA113372889         PRJEB60156
2022    2     Umeå          is_172_010.varType.table.tsv    run_report_samples_is_172_001-016.pdf    ERR11280802          SAMEA113372890         PRJEB60156
2021    50    Uppsala       is_172_011.varType.table.tsv    run_report_samples_is_172_001-016.pdf    ERR11280803          SAMEA113372891         PRJEB60156
2021    51    Uppsala       is_172_012.varType.table.tsv    run_report_samples_is_172_001-016.pdf    ERR11280804          SAMEA113372893         PRJEB60156
2021    52    Uppsala       is_172_013.varType.table.tsv    run_report_samples_is_172_001-016.pdf    ERR11280805          SAMEA113372894         PRJEB60156
2022    1     Uppsala       is_172_014.varType.table.tsv    run_report_samples_is_172_001-016.pdf    ERR11280806          SAMEA113372895         PRJEB60156
2022    2     Uppsala       is_172_015.varType.table.tsv    run_report_samples_is_172_001-016.pdf    ERR11280807          SAMEA113372896         PRJEB60156
2021    50    Örebro        is_172_016.varType.table.tsv    run_report_samples_is_172_001-016.pdf    ERR11280808          SAMEA113372897         PRJEB60156
2021    51    Örebro        is_172_017.varType.table.tsv    run_report_samples_is_172_017-032.pdf    ERR11280809          SAMEA113372898         PRJEB60156
2021    52    Örebro        is_172_018.varType.table.tsv    run_report_samples_is_172_017-032.pdf    ERR11280810          SAMEA113372899         PRJEB60156
2022    1     Örebro        is_172_019.varType.table.tsv    run_report_samples_is_172_017-032.pdf    ERR11280811          SAMEA113372900         PRJEB60156
2022    2     Örebro        is_172_020.varType.table.tsv    run_report_samples_is_172_017-032.pdf    ERR11280812          SAMEA113372901         PRJEB60156
2021    49    Stockholm     is_172_021.varType.table.tsv    run_report_samples_is_172_017-032.pdf    ERR11197162          SAMEA112672614         PRJEB60156
2021    49    Malmö         is_172_022.varType.table.tsv    run_report_samples_is_172_017-032.pdf    ERR11197163          SAMEA112672615         PRJEB60156
2021    50    Stockholm     is_172_023.varType.table.tsv    run_report_samples_is_172_017-032.pdf    ERR11280813          SAMEA113372902         PRJEB60156
2021    50    Malmö         is_172_024.varType.table.tsv    run_report_samples_is_172_017-032.pdf    ERR11280814          SAMEA113372903         PRJEB60156
2021    51    Stockholm     is_172_025.varType.table.tsv    run_report_samples_is_172_017-032.pdf    ERR11280815          SAMEA113372904         PRJEB60156
2021    51    Malmö         is_172_026.varType.table.tsv    run_report_samples_is_172_017-032.pdf    ERR11280816          SAMEA113372905         PRJEB60156
2021    52    Stockholm     is_172_027.varType.table.tsv    run_report_samples_is_172_017-032.pdf    ERR11280817          SAMEA113372906         PRJEB60156
2021    52    Malmö         is_172_028.varType.table.tsv    run_report_samples_is_172_017-032.pdf    ERR11280818          SAMEA113372907         PRJEB60156
2022    1     Stockholm     is_172_029.varType.table.tsv    run_report_samples_is_172_017-032.pdf    ERR11280819          SAMEA113372908         PRJEB60156
2022    1     Malmö         is_172_030.varType.table.tsv    run_report_samples_is_172_017-032.pdf    ERR11280820          SAMEA113372909         PRJEB60156
2022    2     Stockholm     is_172_031.varType.table.tsv    run_report_samples_is_172_017-032.pdf    ERR11280821          SAMEA113372910         PRJEB60156
2022    2     Malmö         is_172_032.varType.table.tsv    run_report_samples_is_172_017-032.pdf    ERR11280822          SAMEA113372911         PRJEB60156
2022    4     Kalmar        is_174_001.varType.table.tsv    run_report_samples_is_174_001-016.pdf    ERR11280825          SAMEA113373452         PRJEB60156
2022    5     Kalmar        is_174_002.varType.table.tsv    run_report_samples_is_174_001-016.pdf    ERR11280826          SAMEA113373453         PRJEB60156
2022    6     Kalmar        is_174_003.varType.table.tsv    run_report_samples_is_174_001-016.pdf    ERR11280827          SAMEA113373454         PRJEB60156
2022    7     Kalmar        is_174_004.varType.table.tsv    run_report_samples_is_174_001-016.pdf    ERR11280828          SAMEA113373455         PRJEB60156
2022    4     Umeå          is_174_005.varType.table.tsv    run_report_samples_is_174_001-016.pdf    ERR11280829          SAMEA113373456         PRJEB60156
2022    5     Umeå          is_174_006.varType.table.tsv    run_report_samples_is_174_001-016.pdf    ERR11280830          SAMEA113373457         PRJEB60156
2022    6     Umeå          is_174_007.varType.table.tsv    run_report_samples_is_174_001-016.pdf    ERR11280831          SAMEA113373458         PRJEB60156
2022    7     Umeå          is_174_008.varType.table.tsv    run_report_samples_is_174_001-016.pdf    ERR11280832          SAMEA113373459         PRJEB60156
2022    3     Uppsala       is_174_009.varType.table.tsv    run_report_samples_is_174_001-016.pdf    ERR11280833          SAMEA113373460         PRJEB60156
2022    4     Uppsala       is_174_010.varType.table.tsv    run_report_samples_is_174_001-016.pdf    ERR11280834          SAMEA113373461         PRJEB60156
2022    5     Uppsala       is_174_011.varType.table.tsv    run_report_samples_is_174_001-016.pdf    ERR11280835          SAMEA113373462         PRJEB60156
2022    6     Uppsala       is_174_012.varType.table.tsv    run_report_samples_is_174_001-016.pdf    ERR11280836          SAMEA113373463         PRJEB60156
2022    7     Uppsala       is_174_013.varType.table.tsv    run_report_samples_is_174_001-016.pdf    ERR11280837          SAMEA113373464         PRJEB60156
