FileType	bam	Read submission file type										
study	sample	library_name	library_strategy	library_source	library_selection	library_layout	insert_size	library_construction_protocol	platform	instrument_model	file_name	file_md5
PRJEB74310	ERS18607825	ps_158_001-r54032_20190124_110456-5_E01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54032_190126_061335.subreads.bam	4537781ae729803e2a31978cf25cb641
PRJEB74310	ERS18607825	ps_158_001-r54032_20190124_110456-6_F01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54032_190126_162654.subreads.bam	1992e24e36c9adf15f0642dc6097488c
PRJEB74310	ERS18607825	ps_158_001-r54032_20190301_125952-5_E01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54032_190303_040119.subreads.bam	99b182133a336e98c97406e5498d01eb
PRJEB74310	ERS18607825	ps_158_001-r54032_20190304_121825-1_F01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54032_190304_122710.subreads.bam	071c339b2764a26272b0bfc26a06b904
PRJEB74310	ERS18607825	ps_158_001-r54032_20190304_121825-2_G01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54032_190304_224014.subreads.bam	b983ac1e6c717c2ba68179da84c268f9
PRJEB74310	ERS18607825	ps_158_001-r54032_20190308_104026-3_C01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54032_190309_140554.subreads.bam	d1d6cb2cb0c06678e0ea6b4d05334077
PRJEB74310	ERS18607825	ps_158_001-r54032_20190308_104026-4_D01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54032_190310_001924.subreads.bam	86966dac153c543c4849f68dc0886cc0
PRJEB74310	ERS18607825	ps_158_001-r54032_20190308_104026-5_E01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54032_190310_103236.subreads.bam	c1d5609d4826df5cff62fd85cd02ff39
PRJEB74310	ERS18607825	ps_158_001-r54032_20190308_104026-6_F01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54032_190310_204609.subreads.bam	59a937a1b2090a2548363b2422d9c361
PRJEB74310	ERS18607825	ps_158_001-r54032_20190308_104026-7_G01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54032_190311_065921.subreads.bam	52887391eaad1ecbe867c51034da02a3
