# Checklist	ERC000053	Tree of Life Checklist															
tax_id	scientific_name	sample_alias	sample_title	sample_description	organism part	lifestage	project name	collected_by	collection date	geographic location (latitude)	geographic location (longitude)	geographic location (region and locality)	identified_by	habitat	sex	geographic location (country and/or sea)	collecting institution
# Taxonomy ID of the organism as in the  NCBI Taxonomy database. Entries in the NCBI Taxonomy database have integer taxon IDs. See our tips for sample taxonomy here	Scientific name of the organism as in the  NCBI Taxonomy database. Scientific names typically follow the binomial nomenclature. For example, the scientific name for humans is Homo sapiens.	Unique name of the sample. If not selected system will auto generate an unique alias	Title of the sample	Description of the sample	The part of organism's anatomy or substance arising from an organism from which the biomaterial was derived, excludes cells.	The age class or life stage of the organism at the time of collection.	Name of the project within which the sequencing was organized	Name of persons or institute who collected the specimen	The date the sample was collected with the intention of sequencing, either as an instance (single point in time) or interval. In case no exact time is available, the date/time can be right truncated i.e. all of these are valid ISO8601 compliant times: 2008-01-23T19:23:10+00:00; 2008-01-23T19:23:10; 2008-01-23; 2008-01; 2008.	Collection coordinate in decimal grades	Collection coordinate in decimal grades	The geographical origin of the sample as defined by the specific region name followed by the locality name.		Description of the location of the sample material. please use EnvO terms where possible: https://www.ebi.ac.uk/ols/ontologies/envo	Sex of the organism from which the sample was obtained	The geographical origin of where the sample was collected from, with the intention of sequencing, as defined by the country or sea name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html).	
9182	Phylloscopus trochilus	P_trochilus_SI-2304-1755299	P_trochilus_SI-2304-1755299	Blood drawn from living, field caught specimen SI-2304-1755299	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2019-06-20	61.70193	17.39579	Hälsingland, Hornslandet	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
9182	Phylloscopus trochilus	P_trochilus_SI-2304-1755335	P_trochilus_SI-2304-1755335	Blood drawn from living, field caught specimen SI-2304-1755335	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2019-06-08	62.96376	14.73313	Jämtland, Kloxåsen	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
9182	Phylloscopus trochilus	P_trochilus_SI-2304-1755341	P_trochilus_SI-2304-1755341	Blood drawn from living, field caught specimen SI-2304-1755341	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2019-06-08	62.97168	14.67536	Jämtland, Kloxåsen	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
9182	Phylloscopus trochilus	P_trochilus_SI-2304-1755342	P_trochilus_SI-2304-1755342	Blood drawn from living, field caught specimen SI-2304-1755342	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2019-06-08	62.96686	14.67675	Jämtland, Kloxåsen	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
9182	Phylloscopus trochilus	P_trochilus_SI-2304-1755348	P_trochilus_SI-2304-1755348	Blood drawn from living, field caught specimen SI-2304-1755348	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2019-06-08	62.98027	14.68033	Jämtland, Kloxåsen	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
9182	Phylloscopus trochilus	P_trochilus_SI-2304-1755349	P_trochilus_SI-2304-1755349	Blood drawn from living, field caught specimen SI-2304-1755349	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2019-06-08	62.9803	14.67743	Jämtland, Kloxåsen	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
9182	Phylloscopus trochilus	P_trochilus_SI-2304-1755353	P_trochilus_SI-2304-1755353	Blood drawn from living, field caught specimen SI-2304-1755353	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2019-06-15	63.42635	14.85122	Jämtland, Norderåsen	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
9182	Phylloscopus trochilus	P_trochilus_SI-2304-1755354	P_trochilus_SI-2304-1755354	Blood drawn from living, field caught specimen SI-2304-1755354	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2019-06-16	63.42849	14.84845	Jämtland, Norderåsen	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
9182	Phylloscopus trochilus	P_trochilus_SI-2304-1755357	P_trochilus_SI-2304-1755357	Blood drawn from living, field caught specimen SI-2304-1755357	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2019-05-27	62.5109	17.44262	Medelpad, Midlanda	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
