study	sample	design_description	library_name	library_strategy	library_source	library_selection	library_layout	insert_size	library_construction_protocol	platform	instrument_model	file_name	file_md5									
PRJEB107427	JN2	Tissue-specific expression of microRNA and annotation of corresponding genome	P33770_109	miRNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	100	QIAseq miRNA low input	ILLUMINA	NextSeq 2000	/P33770_101_S1_L001_R1_001.fastq.gz	2315047db50919743c04fedea84cfeca									
PRJEB107427	JN2	Tissue-specific expression of microRNA and annotation of corresponding genome	P33770_110	miRNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	100	QIAseq miRNA low input	ILLUMINA	NextSeq 2000	/P33770_102_S2_L001_R1_001.fastq.gz	ddc057c974117d819f372a88f7dc4720									
PRJEB107427	JN2	Tissue-specific expression of microRNA and annotation of corresponding genome	P33770_111	miRNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	100	QIAseq miRNA low input	ILLUMINA	NextSeq 2000	/P33770_103_S3_L001_R1_001.fastq.gz	a9cdf4322577df369fc98866e4169926									
PRJEB107427	JN2	Tissue-specific expression of microRNA and annotation of corresponding genome	P33770_112	miRNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	100	QIAseq miRNA low input	ILLUMINA	NextSeq 2000	/P33770_104_S4_L001_R1_001.fastq.gz	345d388a05d93e886e7dc2504c070034									
PRJEB107427	JN2	Tissue-specific expression of microRNA and annotation of corresponding genome	P33770_113	miRNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	100	QIAseq miRNA low input	ILLUMINA	NextSeq 2000	/P33770_105_S5_L001_R1_001.fastq.gz	b91825066da044a1f582046b0aa323d8									
PRJEB107427	JN2	Tissue-specific expression of microRNA and annotation of corresponding genome	P33770_114	miRNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	100	QIAseq miRNA low input	ILLUMINA	NextSeq 2000	/P33770_106_S6_L001_R1_001.fastq.gz	9c0d7fb5fc2dd4cf8fe39100c1b1fbe8									
PRJEB107427	OX	Tissue-specific expression of microRNA and annotation of corresponding genome	P33770_101	miRNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	100	QIAseq miRNA low input	ILLUMINA	NextSeq 2000	/P33770_107_S7_L001_R1_001.fastq.gz	c010a3e8cc58b6d29e578919142dd5ee									
PRJEB107427	OX	Tissue-specific expression of microRNA and annotation of corresponding genome	P33770_102	miRNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	100	QIAseq miRNA low input	ILLUMINA	NextSeq 2000	/P33770_108_S8_L001_R1_001.fastq.gz	bb728ff15a4e4ddc864be78681e86427									
PRJEB107427	OX	Tissue-specific expression of microRNA and annotation of corresponding genome	P33770_103	miRNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	100	QIAseq miRNA low input	ILLUMINA	NextSeq 2000	/P33770_109_S9_L001_R1_001.fastq.gz	853bc219c2daf8d7fc5e737f9da8474a									
PRJEB107427	OX	Tissue-specific expression of microRNA and annotation of corresponding genome	P33770_104	miRNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	100	QIAseq miRNA low input	ILLUMINA	NextSeq 2000	/P33770_110_S10_L001_R1_001.fastq.gz	8bfe3c3ec3a3ebb52138a6422ec388c4									
PRJEB107427	OX	Tissue-specific expression of microRNA and annotation of corresponding genome	P33770_105	miRNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	100	QIAseq miRNA low input	ILLUMINA	NextSeq 2000	/P33770_111_S11_L001_R1_001.fastq.gz	a28e33b9ee7f8cbe0b000353f0b4bb2b									
PRJEB107427	OX	Tissue-specific expression of microRNA and annotation of corresponding genome	P33770_106	miRNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	100	QIAseq miRNA low input	ILLUMINA	NextSeq 2000	/P33770_112_S12_L001_R1_001.fastq.gz	879026825da07d3f69260a8534b399f5									
PRJEB107427	OX	Tissue-specific expression of microRNA and annotation of corresponding genome	P33770_107	miRNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	100	QIAseq miRNA low input	ILLUMINA	NextSeq 2000	/P33770_113_S13_L001_R1_001.fastq.gz	885b5c8d43e5307c6f74fdf6751a942f									
PRJEB107427	OX	Tissue-specific expression of microRNA and annotation of corresponding genome	P33770_108	miRNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	100	QIAseq miRNA low input	ILLUMINA	NextSeq 2000	/P33770_114_S14_L001_R1_001.fastq.gz	a4b5d7da6da5f518a98a0796941a808c									
