FileType	fastq													
study	sample	library_name	library_strategy	library_source	library_selection	library_layout	insert_size	library_construction_protocol	platform	instrument_model	forward_file_name	forward_file_md5	reverse_file_name	reverse_file_md5
PRJEB108304	VI-3416-Lleo-G22-4-02_S80	VI-3416-Lleo-G22-4-02_S80_WGS	WGS	GENOMIC	size fractionation	PAIRED	350	Sequencing libraries were prepared from 1_g DNA using the TruSeq PCRfree DNA sample preparation kit (cat# 20015962, Illumina Inc.) and unique dual indexes (cat#20022370, Illumina Inc.), targeting an insert size of 350bp. The library preparation was performed according to the manufacturers’ instructions (guide#1000000039279).	ILLUMINA	Illumina NovaSeq 6000	/VI-3416-Lleo-G22-4-02_S80_L004_R1_001.fastq.gz	061ba36af1a36e34c1c74c5dff5b54b9	/VI-3416-Lleo-G22-4-02_S80_L004_R2_001.fastq.gz	16c43ff8559598123e1384d0577965cd
PRJEB108304	VI-3416-Lleo-G22-4-06_S81	VI-3416-Lleo-G22-4-06_S81_WGS	WGS	GENOMIC	size fractionation	PAIRED	350	Sequencing libraries were prepared from 1_g DNA using the TruSeq PCRfree DNA sample preparation kit (cat# 20015962, Illumina Inc.) and unique dual indexes (cat#20022370, Illumina Inc.), targeting an insert size of 350bp. The library preparation was performed according to the manufacturers’ instructions (guide#1000000039279).	ILLUMINA	Illumina NovaSeq 6000	/VI-3416-Lleo-G22-4-06_S81_L004_R1_001.fastq.gz	c4a8b5bffc19506378434523ff77dba9	/VI-3416-Lleo-G22-4-06_S81_L004_R2_001.fastq.gz	412183ebd9e5d0e16c5bffeb6ade324d
PRJEB108304	VI-3416-Lleo-G22-4-10_S82	VI-3416-Lleo-G22-4-10_S82_WGS	WGS	GENOMIC	size fractionation	PAIRED	350	Sequencing libraries were prepared from 1_g DNA using the TruSeq PCRfree DNA sample preparation kit (cat# 20015962, Illumina Inc.) and unique dual indexes (cat#20022370, Illumina Inc.), targeting an insert size of 350bp. The library preparation was performed according to the manufacturers’ instructions (guide#1000000039279).	ILLUMINA	Illumina NovaSeq 6000	/VI-3416-Lleo-G22-4-10_S82_L004_R1_001.fastq.gz	fb132509b25460b904eb989bcc99cbd1	/VI-3416-Lleo-G22-4-10_S82_L004_R2_001.fastq.gz	698141594665d6c6b7164f65d4e38f2c
PRJEB108304	VI-3416-Lleo-G22-4-14_S83	VI-3416-Lleo-G22-4-14_S83_WGS	WGS	GENOMIC	size fractionation	PAIRED	350	Sequencing libraries were prepared from 1_g DNA using the TruSeq PCRfree DNA sample preparation kit (cat# 20015962, Illumina Inc.) and unique dual indexes (cat#20022370, Illumina Inc.), targeting an insert size of 350bp. The library preparation was performed according to the manufacturers’ instructions (guide#1000000039279).	ILLUMINA	Illumina NovaSeq 6000	/VI-3416-Lleo-G22-4-14_S83_L004_R1_001.fastq.gz	e460f34e70b033806d6adbdb81213e01	/VI-3416-Lleo-G22-4-14_S83_L004_R2_001.fastq.gz	deb4f2b2ff2390008acf88eb2a1ec408
PRJEB108304	VI-3416-Lleo-G22-4-15_S24	VI-3416-Lleo-G22-4-15_S24_WGS	WGS	GENOMIC	size fractionation	PAIRED	350	Sequencing libraries were prepared from 1_g DNA using the TruSeq PCRfree DNA sample preparation kit (cat# 20015962, Illumina Inc.) and unique dual indexes (cat#20022370, Illumina Inc.), targeting an insert size of 350bp. The library preparation was performed according to the manufacturers’ instructions (guide#1000000039279).	ILLUMINA	Illumina NovaSeq 6000	/VI-3416-Lleo-G22-4-15_S24_L002_R1_001.fastq.gz	748f6b9be18f194f11caa43ec7ae0abf	/VI-3416-Lleo-G22-4-15_S24_L002_R2_001.fastq.gz	37cd8d57c59c1366794f606de3514e5a
PRJEB108304	VI-3416-Lleo-G22-4-16_S84	VI-3416-Lleo-G22-4-16_S84_WGS	WGS	GENOMIC	size fractionation	PAIRED	350	Sequencing libraries were prepared from 1_g DNA using the TruSeq PCRfree DNA sample preparation kit (cat# 20015962, Illumina Inc.) and unique dual indexes (cat#20022370, Illumina Inc.), targeting an insert size of 350bp. The library preparation was performed according to the manufacturers’ instructions (guide#1000000039279).	ILLUMINA	Illumina NovaSeq 6000	/VI-3416-Lleo-G22-4-16_S84_L004_R1_001.fastq.gz	f4ce39516246e0ad269598726cbfaf29	/VI-3416-Lleo-G22-4-16_S84_L004_R2_001.fastq.gz	1a78ef50746fdad601aadf3137502383
PRJEB108304	VI-3416-Lleo-G22-4-18_S85	VI-3416-Lleo-G22-4-18_S85_WGS	WGS	GENOMIC	size fractionation	PAIRED	350	Sequencing libraries were prepared from 1_g DNA using the TruSeq PCRfree DNA sample preparation kit (cat# 20015962, Illumina Inc.) and unique dual indexes (cat#20022370, Illumina Inc.), targeting an insert size of 350bp. The library preparation was performed according to the manufacturers’ instructions (guide#1000000039279).	ILLUMINA	Illumina NovaSeq 6000	/VI-3416-Lleo-G22-4-18_S85_L004_R1_001.fastq.gz	6f1c5084d60b63055e7258a07c4f9651	/VI-3416-Lleo-G22-4-18_S85_L004_R2_001.fastq.gz	d2ced6c1b04703b95f9fbecde7f8bdf6
PRJEB108304	VI-3416-Lleo-G22-4-19_S86	VI-3416-Lleo-G22-4-19_S86_WGS	WGS	GENOMIC	size fractionation	PAIRED	350	Sequencing libraries were prepared from 1_g DNA using the TruSeq PCRfree DNA sample preparation kit (cat# 20015962, Illumina Inc.) and unique dual indexes (cat#20022370, Illumina Inc.), targeting an insert size of 350bp. The library preparation was performed according to the manufacturers’ instructions (guide#1000000039279).	ILLUMINA	Illumina NovaSeq 6000	/VI-3416-Lleo-G22-4-19_S86_L004_R1_001.fastq.gz	435be8ac603e9551e85810e9a3632a71	/VI-3416-Lleo-G22-4-19_S86_L004_R2_001.fastq.gz	cd88fac91d1dd8bf0add5e9c6fb9b274
PRJEB108304	VI-3416-Lleo-G22-4-20_S87	VI-3416-Lleo-G22-4-20_S87_WGS	WGS	GENOMIC	size fractionation	PAIRED	350	Sequencing libraries were prepared from 1_g DNA using the TruSeq PCRfree DNA sample preparation kit (cat# 20015962, Illumina Inc.) and unique dual indexes (cat#20022370, Illumina Inc.), targeting an insert size of 350bp. The library preparation was performed according to the manufacturers’ instructions (guide#1000000039279).	ILLUMINA	Illumina NovaSeq 6000	/VI-3416-Lleo-G22-4-20_S87_L004_R1_001.fastq.gz	b5c3cd24335a024184446ad34721ff49	/VI-3416-Lleo-G22-4-20_S87_L004_R2_001.fastq.gz	d409a5ffb7be575e2818d24bba6988f7
PRJEB108304	VI-3416-Lleo-G22-4-21_S88	VI-3416-Lleo-G22-4-21_S88_WGS	WGS	GENOMIC	size fractionation	PAIRED	350	Sequencing libraries were prepared from 1_g DNA using the TruSeq PCRfree DNA sample preparation kit (cat# 20015962, Illumina Inc.) and unique dual indexes (cat#20022370, Illumina Inc.), targeting an insert size of 350bp. The library preparation was performed according to the manufacturers’ instructions (guide#1000000039279).	ILLUMINA	Illumina NovaSeq 6000	/VI-3416-Lleo-G22-4-21_S88_L004_R1_001.fastq.gz	09f2807e34a060408a565ef1bb433ca7	/VI-3416-Lleo-G22-4-21_S88_L004_R2_001.fastq.gz	dece3c5c8a6b27a44443bc0c5e4f98ee
PRJEB108304	VI-3416-Lleo-G22-4-22_S89	VI-3416-Lleo-G22-4-22_S89_WGS	WGS	GENOMIC	size fractionation	PAIRED	350	Sequencing libraries were prepared from 1_g DNA using the TruSeq PCRfree DNA sample preparation kit (cat# 20015962, Illumina Inc.) and unique dual indexes (cat#20022370, Illumina Inc.), targeting an insert size of 350bp. The library preparation was performed according to the manufacturers’ instructions (guide#1000000039279).	ILLUMINA	Illumina NovaSeq 6000	/VI-3416-Lleo-G22-4-22_S89_L004_R1_001.fastq.gz	44c41fe0cd409d40290539b9cecd7a58	/VI-3416-Lleo-G22-4-22_S89_L004_R2_001.fastq.gz	ad11069cf8ab448fba20e19ea6b1e4ea
PRJEB108304	VI-3416-Lleo-G22-4-23_S90	VI-3416-Lleo-G22-4-23_S90_WGS	WGS	GENOMIC	size fractionation	PAIRED	350	Sequencing libraries were prepared from 1_g DNA using the TruSeq PCRfree DNA sample preparation kit (cat# 20015962, Illumina Inc.) and unique dual indexes (cat#20022370, Illumina Inc.), targeting an insert size of 350bp. The library preparation was performed according to the manufacturers’ instructions (guide#1000000039279).	ILLUMINA	Illumina NovaSeq 6000	/VI-3416-Lleo-G22-4-23_S90_L004_R1_001.fastq.gz	fdf41c7f1edf8fc57330887a652763fb	/VI-3416-Lleo-G22-4-23_S90_L004_R2_001.fastq.gz	4a930ad8414f2eed07e04f22aea629a7
PRJEB108304	VI-3416-Lleo-G22-4-24_S25	VI-3416-Lleo-G22-4-24_S25_WGS	WGS	GENOMIC	size fractionation	PAIRED	350	Sequencing libraries were prepared from 1_g DNA using the TruSeq PCRfree DNA sample preparation kit (cat# 20015962, Illumina Inc.) and unique dual indexes (cat#20022370, Illumina Inc.), targeting an insert size of 350bp. The library preparation was performed according to the manufacturers’ instructions (guide#1000000039279).	ILLUMINA	Illumina NovaSeq 6000	/VI-3416-Lleo-G22-4-24_S25_L002_R1_001.fastq.gz	912ef728c42ee9b9a781ada13190e592	/VI-3416-Lleo-G22-4-24_S25_L002_R2_001.fastq.gz	483de609559198b9bc5678e467e5b96c
PRJEB108304	VI-3416-Lleo-G22-4-25_S91	VI-3416-Lleo-G22-4-25_S91_WGS	WGS	GENOMIC	size fractionation	PAIRED	350	Sequencing libraries were prepared from 1_g DNA using the TruSeq PCRfree DNA sample preparation kit (cat# 20015962, Illumina Inc.) and unique dual indexes (cat#20022370, Illumina Inc.), targeting an insert size of 350bp. The library preparation was performed according to the manufacturers’ instructions (guide#1000000039279).	ILLUMINA	Illumina NovaSeq 6000	/VI-3416-Lleo-G22-4-25_S91_L004_R1_001.fastq.gz	f81c20a3c725169a732b5723e01e6575	/VI-3416-Lleo-G22-4-25_S91_L004_R2_001.fastq.gz	959ab9ea63adc61b91a2e16e4f2c9ae0
PRJEB108304	VI-3416-Lleo-G22-4-26_S59	VI-3416-Lleo-G22-4-26_S59_WGS	WGS	GENOMIC	size fractionation	PAIRED	350	Sequencing libraries were prepared from 1_g DNA using the TruSeq PCRfree DNA sample preparation kit (cat# 20015962, Illumina Inc.) and unique dual indexes (cat#20022370, Illumina Inc.), targeting an insert size of 350bp. The library preparation was performed according to the manufacturers’ instructions (guide#1000000039279).	ILLUMINA	Illumina NovaSeq 6000	/VI-3416-Lleo-G22-4-26_S59_L003_R1_001.fastq.gz	6fcff3568ab85da8e76030ff64f863bf	/VI-3416-Lleo-G22-4-26_S59_L003_R2_001.fastq.gz	c4f9d838a6a4e714084c9fbc0f976dbc
