tax_id	scientific_name	sample_alias	sample_title	sample_description	organism part	lifestage	project name	collected_by	collection date	geographic location (country and/or sea)	geographic location (region and locality)	habitat	sex	collecting institution	geographic location (latitude)	geographic location (longitude)
158176	Phylloscopus collybita collybita 	RS6125	P_col_RS6125	Blood sample	Avian Blood 	adult	S_Bensch_2205	Staffan Bensch	2014-05-16	Sweden	Skåne	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Lund University	55,70	13,45
158176	Phylloscopus collybita collybita 	RS6128	P_col_RS6128	Blood sample	Avian Blood 	adult	S_Bensch_2205	Staffan Bensch	2014-06-01	Sweden	Skåne	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Lund University	55,70	13,45
158176	Phylloscopus collybita collybita 	RS6129	P_col_RS6129	Blood sample	Avian Blood 	adult	S_Bensch_2205	Staffan Bensch	2014-06-14	Sweden	Skåne	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Lund University	55,70	13,45
158176	Phylloscopus collybita collybita 	RS6132	P_col_RS6132	Blood sample	Avian Blood 	adult	S_Bensch_2205	Staffan Bensch	2014-06-29	Sweden	Skåne	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Lund University	55,70	13,45
158176	Phylloscopus collybita collybita 	SZ8855	P_col_SZ8855	Blood sample	Avian Blood 	adult	S_Bensch_2205	Staffan Bensch	2020-06-03	Sweden	Skåne	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Lund University	55,70	13,45
158176	Phylloscopus collybita collybita 	SZ8857	P_col_SZ8857	Blood sample	Avian Blood 	adult	S_Bensch_2205	Staffan Bensch	2020-06-03	Sweden	Skåne	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Lund University	55,70	13,45
158176	Phylloscopus collybita collybita 	SZ8858	P_col_SZ8858	Blood sample	Avian Blood 	adult	S_Bensch_2205	Staffan Bensch	2020-06-03	Sweden	Skåne	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Lund University	55,71	13,46
158176	Phylloscopus collybita abietinus 	SZ8875	P_col_SZ8875	Blood sample	Avian Blood 	adult	S_Bensch_2205	Violeta Caballero-Lopez	2020-06-16	Sweden	Skåne	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Lund University	63,44	14,83
158176	Phylloscopus collybita collybita 	TC0163	P_col_TC0163	Blood sample	Avian Blood 	adult	S_Bensch_2205	Staffan Bensch	2016-05-06	Sweden	Skåne	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Lund University	55,69	13,47
158176	Phylloscopus collybita collybita 	Z81303	P_col_Z81303	Blood sample	Avian Blood 	adult	S_Bensch_2205	Staffan Bensch	1998-05-11	Sweden	Skåne	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Lund University	55,69	13,44
216579	Phylloscopus collybita collybita 	RE4687	P_col_RE4687	Blood sample	Avian Blood 	adult	S_Bensch_2205	Staffan Bensch	2016-05-19	Sweden	Skåne	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Lund University	55,70	13,45
216579	Phylloscopus collybita abietinus 	SZ8873	P_col_SZ8873	Blood sample	Avian Blood 	adult	S_Bensch_2205	Violeta Caballero-Lopez	2020-06-16	Sweden	Jämtland	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Lund University	63,44	14,83
216579	Phylloscopus collybita abietinus 	SZ8874	P_col_SZ8874	Blood sample	Avian Blood 	adult	S_Bensch_2205	Violeta Caballero-Lopez	2020-06-16	Sweden	Jämtland	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Lund University	63,44	14,83
216579	Phylloscopus collybita abietinus 	SZ8876	P_col_SZ8876	Blood sample	Avian Blood 	adult	S_Bensch_2205	Violeta Caballero-Lopez	2020-06-16	Sweden	Jämtland	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Lund University	63,44	14,83
216579	Phylloscopus collybita abietinus 	SZ8877	P_col_SZ8877	Blood sample	Avian Blood 	adult	S_Bensch_2205	Violeta Caballero-Lopez	2020-06-16	Sweden	Jämtland	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Lund University	63,44	14,82
216579	Phylloscopus collybita abietinus 	SZ8878	P_col_SZ8878	Blood sample	Avian Blood 	adult	S_Bensch_2205	Violeta Caballero-Lopez	2020-06-16	Sweden	Jämtland	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Lund University	63,44	14,82
216579	Phylloscopus collybita abietinus 	UR8209	P_col_UR8209	Blood sample	Avian Blood 	adult	S_Bensch_2205	Violeta Caballero-Lopez	2022-06-15	Sweden	Västerbotten	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Lund University	63,48	14,88
216579	Phylloscopus collybita abietinus 	US8624	P_col_US8624	Blood sample	Avian Blood 	adult	S_Bensch_2205	Violeta Caballero-Lopez	2022-06-15	Sweden	Västerbotten	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Lund University	64,12	20,03
216579	Phylloscopus collybita abietinus 	US8625	P_col_US8625	Blood sample	Avian Blood 	adult	S_Bensch_2205	Violeta Caballero-Lopez	2022-06-15	Sweden	Västerbotten	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Lund University	64,16	20,04
216579	Phylloscopus collybita abietinus 	US8626	P_col_US8626	Blood sample	Avian Blood 	adult	S_Bensch_2205	Violeta Caballero-Lopez	2022-06-15	Sweden	Västerbotten	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Lund University	64,15	20,07
216579	Phylloscopus collybita abietinus 	LH10497	P_col_LH10497	Blood sample	Avian Blood 	adult	S_Bensch_2205	Violeta Caballero-Lopez	2022-05-20	Poland	Podalski Voivodeship	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Lund University	52,74	23,16
216579	Phylloscopus collybita abietinus 	LJ34520	P_col_LJ34520	Blood sample	Avian Blood 	adult	S_Bensch_2205	Violeta Caballero-Lopez	2022-05-23	Poland	Podalski Voivodeship	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Lund University	53,81	21,76
216579	Phylloscopus collybita abietinus 	XT48070	P_col_XT48070	Blood sample	Avian Blood 	adult	S_Bensch_2205	Harald Ris	2022-06-16	Lithuania	Godenai	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Lund University	55,06	23,74
216579	Phylloscopus collybita abietinus 	XT48071	P_col_XT48071	Blood sample	Avian Blood 	adult	S_Bensch_2205	Harald Ris	2022-06-16	Lithuania	Godenai	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Lund University	55,06	23,74
