Protein_IDs;Genes;Gene_names;127N_G1;127C_G1;128N_G1;128C_G1;129N_G1;129C_G1;130N_G1;130C_G1;131N_G1;131C_G1;132N_G1;132C_G1;128N_G2;128C_G2;129N_G2;129C_G2;130N_G2;130C_G2;131N_G2;131C_G2;132N_G2;132C_G2;133N_G2
A0A024RBG1;NUDT4;NUDT4;12,99778997;13,92572266;14,39376428;13,34927773;14,53850143;13,91562309;13,45287382;13,97527561;13,24042785;14,63718463;14,45190256;14,43101431;14,45686361;14,26233608;13,97081523;13,80597595;14,4510465;14,35744928;14,26164105;13,87075247;13,98316513;13,88829516;13,59668616
A0A075B6K4;IGLV3-10;IGLV3-10;16,63267088;16,00406262;17,48170267;17,08688006;16,47289067;16,4924411;16,98545512;16,80503191;17,74037724;16,22323542;18,58158348;16,64642669;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!
A0A075B6K5;IGLV3-9;IGLV3-9;15,4086087;15,64057743;15,83896763;15,73472057;15,5094584;15,68501133;15,99295983;15,57893522;16,29781649;15,39706802;16,28065438;15,01478427;15,05647503;15,04399773;15,59147299;16,19176982;15,15337364;15,86392586;17,6676267;16,32340473;15,75738726;16,50829228;15,13751868
A0A096LP55;UQCRHL;"UQCRHL;UQCRH";17,12595588;17,91318868;17,32480425;17,08121549;17,36651637;17,68633106;17,97476779;17,78470719;17,70541474;17,70432314;18,05738146;17,26626842;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!
A0A0A0MRZ8;IGKV3D-11;IGKV3D-11;18,94372045;19,1820244;18,74922051;18,94321525;18,73684488;18,91692726;18,84238384;18,55683706;19,95277936;18,56304171;19,60191693;19,02662405;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!
A0A0C4DH31;IGHV1-18;IGHV1-18;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;16,70221778;16,51968732;17,21256506;16,72455414;16,77769625;17,03788047;17,71461627;17,59283726;16,99627464;17,34055464;15,89370976
A0A0C4DH68;IGKV2-24;IGKV2-24;17,19469653;16,73456762;16,91651245;17,04995056;16,7640233;17,31370354;17,05168644;16,68115734;17,31148494;16,85317183;18,75578718;17,97771569;16,75813189;16,9598424;17,92375776;17,57280897;17,35776982;16,95423143;17,19627102;18,50814703;17,3002822;18,01879368;17,4071686
A0A0J9YXX1;IGHV5-51;IGHV5-51;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;15,16136305;15,51115724;15,62812608;15,73256825;15,11705037;15,86336961;15,91599626;16,48461068;15,9081634;16,4483072;15,55706065
A0A0U1RRK4;XK;NA;18,31200699;17,93066503;18,00342601;18,26644389;18,06572186;18,29587205;17,98907658;18,04246798;18,05032417;18,28800393;17,96493352;18,24433184;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!
A0AVT1;UBA6;UBA6;19,76168896;21,31438031;21,24178041;20,4059358;21,39896132;20,14978628;19,94708993;20,85087716;20,13279265;21,26721467;21,56853835;21,37571193;21,48138834;20,96139837;20,94888842;20,86114708;21,38326387;21,27363076;21,35399553;21,18947909;21,14190969;20,59082359;20,09933843
