Protein_IDs;Genes;Gene_names;127N_G1;127C_G1;128N_G1;128C_G1;129N_G1;129C_G1;130N_G1;130C_G1;131N_G1;131C_G1;132N_G1;132C_G1;128N_G2;128C_G2;129N_G2;129C_G2;130N_G2;130C_G2;131N_G2;131C_G2;132N_G2;132C_G2;133N_G2;133C_G2
A0A0A0MRZ8;IGKV3D-11;IGKV3D-11;16,69463401;17,088564;16,65897602;16,60039675;16,58157746;16,48098925;16,79311877;16,771596;16,99072127;16,50124534;16,88747908;16,81261383;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!
A0A0B4J2F0;PIGBOS1;PIGBOS1;16,50946479;15,98653922;16,4439475;16,41209225;16,37125893;16,24547535;15,79241661;16,40989161;16,51028087;16,31462002;16,49109216;16,19725706;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!
A0A0J9YX94;XK;NA;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;15,48681172;15,51279896;15,21771384;15,64554538;15,23003663;15,61680824;15,70659969;15,6924405;15,02884961;15,41307008;15,73944725;15,48100352
A0A0U1RRL7;XK;NA;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;12,2667168;12,51077789;12,06158464;12,49410433;12,10113044;12,09825976;11,60455553;11,98867248;11,98077358;12,18303393;12,57665662;12,3881923
A0AVT1;UBA6;UBA6;20,81177215;20,03450707;19,91397379;20,37598348;20,15218506;20,65851675;20,40490401;20,34549126;20,63152801;20,02519673;20,00534969;20,47897944;20,42688081;20,22583803;20,27991294;20,65981998;20,02834837;19,960499;19,86572794;20,23120231;20,40764008;20,56709654;20,47181584;20,16849677
A0FGR8;ESYT2;ESYT2;19,81315645;19,90659158;19,88778469;19,82523487;19,8704371;19,85495706;19,76511321;19,93191381;19,77726527;19,82740515;19,89525588;19,73151443;19,63554196;19,77405852;19,8979799;19,71658366;19,83922236;19,89924849;19,90047702;19,78654568;19,71686273;19,76001548;19,78482496;19,69542272
A0JNW5;BLTP3B;UHRF1BP1L;16,23954849;16,01128891;16,25888279;16,01690242;16,34018998;16,17011976;16,16000187;15,98509277;16,12721758;16,28344088;16,16617274;16,04905467;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!
A0MZ66;SHTN1;KIAA1598;21,36609458;20,39920508;20,21324972;20,72191171;20,4913697;21,04484074;20,30703111;20,64418086;21,02483841;20,27091005;20,32780896;21,07967943;20,7736254;20,21143818;20,27656245;21,05608073;20,39674898;20,05985517;19,98949569;20,5455871;20,69794202;20,72603016;20,61431733;20,25195161
A1A5C7;SLC22A23;SLC22A23;17,6223768;18,12266469;18,11347358;17,93747381;18,06433948;17,90438324;17,94428623;17,97805847;17,93838201;18,18444672;18,25279629;17,64208349;17,87195224;18,38617706;18,08730378;17,77462337;18,10664257;18,24396404;18,40198824;17,69044647;17,97597277;17,89604873;18,35297136;18,26685803
A1L0T0;ILVBL;ILVBL;18,4034916;18,04033057;18,41532435;18,24248094;18,18770673;18,38399229;18,05491664;18,31440466;18,27427796;18,1911032;18,15554411;18,47887393;18,27298401;18,20753358;18,18684257;18,36913111;18,39786117;18,2856012;17,80567184;18,13211818;18,17579328;18,36854174;18,22171407;18,11376132
A1X283;SH3PXD2B;SH3PXD2B;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;16,67789483;16,41925582;16,22376341;16,8150745;16,62435394;16,28140388;16,25165434;16,59194706;16,55032621;16,67584748;16,66251736;16,26716358
A1Z1Q3;MACROD2;MACROD2;16,18808976;16,67175711;16,46723014;16,53621635;17,04994162;16,00004352;16,08441701;16,62609707;16,32738119;15,86744453;14,37451268;16,56621673;16,28748727;16,43849632;16,51245892;16,39976143;16,3491146;16,53474439;16,6494263;16,48547573;16,37993912;16,61079994;16,45399271;16,64714492
A2RRP1;NBAS;NBAS;18,34469459;18,34774351;18,47582619;18,23741728;18,35315508;18,43625367;18,43500735;18,40463251;18,42079839;18,31998737;18,30878059;18,32923685;18,25774251;18,34959339;18,35563415;18,33435495;18,41598101;18,5015702;18,57345138;18,51590727;18,26256735;18,37202326;18,49449199;18,54549584
A2RTX5;TARS3;TARSL2;17,515637;17,54701996;17,22271626;17,40844068;17,56576961;17,59067306;17,29573302;17,44051954;17,6491674;17,41702763;17,44086009;17,45719527;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!
A2RU67;FAM234B;KIAA1467;14,83459539;14,1746473;14,18335574;14,59841621;14,30160348;14,54243867;14,34998842;15,00089602;14,45854181;14,52735796;14,66364582;14,57111985;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!
A3KMH1;VWA8;"VWA8;si:dkey-18l1.1";#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;16,7665362;16,97461098;16,68333647;16,45859846;16,82962003;17,06044257;17,0240539;16,87127971;16,88637363;16,55129711;16,93663458;16,91374568
A4D1P6;WDR91;WDR91;16,00690864;15,47676131;15,54832609;15,49899729;15,54270522;16,00108891;15,80928879;15,88060448;15,98674063;15,71508056;15,72674456;15,85943267;16,05440619;15,95736409;15,74941525;15,92533982;15,91260556;15,83992676;15,95088539;15,98678553;15,84522512;15,98814342;16,05874916;15,79453315
A4D1U4;DENND11;LCHN;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;15,01690091;14,83260671;14,97227107;15,03309495;14,82794475;14,93445649;14,92459245;14,78736049;14,9310485;14,85976148;14,96855935;15,24171125
