Protein_IDs;Genes;Gene_names;127N_G1;127C_G1;128N_G1;128C_G1;129N_G1;129C_G1;130N_G1;130C_G1;131N_G1;131C_G1;132N_G1;132C_G1;128N_G2;128C_G2;129N_G2;129C_G2;130N_G2;130C_G2;131N_G2;131C_G2;132N_G2;132C_G2;133N_G2;133C_G2
A0A024RBG1;NUDT4;NUDT4;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;15,61493397;16,1764958;16,00205537;16,19973873;15,85195595;16,20130167;15,96572452;16,08711813;15,87640423;15,76090374;16,09355558;16,10852113
A0A0B4J2F0;PIGBOS1;PIGBOS1;20,02369021;19,60418907;19,90050934;20,27659921;20,02000947;20,03662085;20,13131733;19,87973634;20,43541174;19,62286844;20,35818448;19,92461076;20,05688333;19,82204285;19,66782794;19,84932041;20,10490503;19,92063677;20,08770754;19,82176328;19,89252181;19,7835778;19,76862691;19,88849195
A0A0J9YX94;XK;NA;17,52334339;17,38602677;17,51956968;17,43604161;17,83831933;17,84591828;17,89386226;17,68112242;17,86229535;17,5744495;17,97922893;17,81886134;17,35901622;16,75329311;17,26034127;17,47851182;18,19230835;18,14493029;17,38874962;17,57808753;17,67422145;17,93865251;17,05286356;17,48224515
A0AVT1;UBA6;UBA6;21,79608456;21,74494638;21,68489501;21,82355073;21,81202792;21,7929684;21,57480846;21,75127995;21,65934067;21,60142872;21,74057449;21,83431449;21,58646513;21,41182855;21,56114125;21,75889958;21,69168026;21,4599954;21,61072491;21,66325186;21,77995094;21,72785255;21,67221375;21,84373941
A0FGR8;ESYT2;ESYT2;22,36061712;22,37637173;22,43158677;22,3693267;22,34234315;22,4784769;22,21421938;22,43281169;22,39847367;22,33991032;22,35221849;22,38792886;22,1941433;22,40689063;22,1820413;22,39581924;22,473002;22,4655052;22,31538697;22,40047567;22,32575016;22,34099669;22,30079555;22,17910959
A0JNW5;BLTP3B;UHRF1BP1L;18,08669993;18,05587456;18,12539984;18,02404646;18,06113428;17,95010525;17,82442257;18,05674308;17,766172;18,11425097;18,15634269;18,11515741;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!
A0MZ66;SHTN1;KIAA1598;21,88471723;21,40245956;21,33894995;21,39441352;21,6355794;21,52750633;21,04037169;21,47769247;21,3520614;21,30345967;21,43205285;21,72269187;21,53301023;20,96810839;21,27663635;21,47696298;21,56209545;21,19668583;21,21905643;21,34229779;21,82422991;21,39582445;21,27046028;21,62311623
A0PJW6;TMEM223;TMEM223;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;17,34232533;17,2366184;17,42013333;17,16696792;17,5506762;17,50134287;17,63146446;17,40798734;17,33500301;17,32575133;17,27558908;17,46469369
A0PK00;TMEM120B;TMEM120B;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;15,48742937;15,81032412;15,86439525;15,64043561;15,84351764;15,78137124;15,74836978;15,50097784;15,64700344;15,80364125;15,64900692;15,60730654
A1A5C7;SLC22A23;SLC22A23;18,8222235;18,89557803;19,10150268;19,26496076;18,92606862;19,0523543;19,20646686;18,95930788;19,35666635;19,03336348;18,87403392;18,86206841;19,13945377;19,54901369;19,04547709;19,10544354;19,12658086;19,01228818;19,14586199;19,03741969;18,79938276;19,15920195;19,14313396;18,61722508
A1IGU5;ARHGEF37;ARHGEF37;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;15,51630608;15,42346899;15,34724435;15,44909308;15,59231993;15,9487117;15,53483355;15,70978334;15,3313989;15,38908891;15,52276355;15,45522306
A1L0T0;ILVBL;ILVBL;21,13542059;20,81116315;20,85960834;20,8644528;20,76370914;20,96838877;20,61656633;20,97112366;20,9754652;20,7870509;20,73638919;20,89042068;20,63996446;20,98040131;21,08624806;20,85386369;20,81150088;20,79765045;20,87775379;20,73281046;21,06129249;20,83442135;20,81066062;20,87005718
A1L188;NDUFAF8;C17orf89;20,35995401;19,66276396;19,69477144;19,46023239;19,35744516;19,72093585;19,63744135;19,88026675;19,81274365;19,81401429;19,48876356;19,81380331;19,53620075;19,78854712;19,56666147;19,82060151;19,58030122;19,76707722;19,75039973;19,74427522;19,95049711;19,58711853;19,62485913;19,8809042
A1Z1Q3;MACROD2;MACROD2;19,09225256;19,45636188;19,34401705;19,3819651;19,40177347;19,32143159;19,32741671;19,24695678;18,96033803;19,38271225;19,54664524;19,24879866;19,30828186;19,08327933;19,20579586;19,15681004;19,28747859;19,25151215;19,28229315;19,12075916;19,44552403;19,23368708;19,42424439;19,21614366
A2NJV5;IGKV2D-26;"IGKV A18;IGKV2D-26;IGKV2D-30;IGKV2D-29;IGKV2D-28;IGKV2-40";18,85360524;18,01141461;17,94476333;18,52924328;17,91458724;18,45353971;18,30358044;18,31296731;19,26253975;17,72930807;18,17883844;18,6605549;17,81549868;18,12202519;19,08815729;17,92405594;18,95294802;18,34636163;18,1058367;17,84371181;18,37466147;18,43269417;18,01021898;17,48649997
A2RRP1;NBAS;NBAS;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;#SAKNAS!;17,84629923;17,39316881;17,50608063;17,90288989;17,90499833;18,52252281;18,17295925;18,38646913;17,711759;17,91301588;17,97374856;18,49722696
A2RTX5;TARS3;TARSL2;17,39471016;17,14677058;17,05002408;16,63678855;17,10612661;17,08707557;16,6263126;16,50222076;17,24171002;16,77241391;17,01358651;17,3099923;16,74455313;16,8575897;16,85566045;16,9226697;16,89051857;16,86352046;16,97936892;17,07940867;17,26508277;16,9300446;16,85923218;17,29354198
