"assembly","seq_name","chromosome","localised","pretext_scaffold","length","length_minus_gaps"
"Primary","SUPER_1","1","true","Scaffold_1",265737432,265697232
"Primary","SUPER_2","2","true","Scaffold_2",255897500,255867800
"Primary","SUPER_2_unloc_1","2","false","Scaffold_2",1130778,1130778
"Primary","SUPER_2_unloc_2","2","false","Scaffold_2",201000,201000
"Primary","SUPER_3","3","true","Scaffold_3",228106054,228077554
"Primary","SUPER_3_unloc_1","3","false","Scaffold_3",1990640,1990640
"Primary","SUPER_3_unloc_2","3","false","Scaffold_3",570149,570149
"Primary","SUPER_3_unloc_3","3","false","Scaffold_3",484824,484524
"Primary","SUPER_3_unloc_4","3","false","Scaffold_3",260854,260854
"Primary","SUPER_4","4","true","Scaffold_4",226242757,226218457
"Primary","SUPER_4_unloc_1","4","false","Scaffold_4",1757162,1756962
"Primary","SUPER_4_unloc_2","4","false","Scaffold_4",651000,651000
"Primary","SUPER_4_unloc_3","4","false","Scaffold_4",464862,464862
"Primary","SUPER_5","5","true","Scaffold_5",216007371,215978371
"Primary","SUPER_6","6","true","Scaffold_6",205940098,205919298
"Primary","SUPER_7","7","true","Scaffold_7",186394215,186366615
"Primary","SUPER_7_unloc_1","7","false","Scaffold_7",1146065,1146065
"Primary","SUPER_7_unloc_2","7","false","Scaffold_7",569210,569210
"Primary","SUPER_7_unloc_3","7","false","Scaffold_7",126000,126000
"Primary","SUPER_8","8","true","Scaffold_8",186389387,186362587
"Primary","SUPER_8_unloc_1","8","false","Scaffold_8",936689,936489
"Primary","SUPER_9","9","true","Scaffold_9",185714064,185693964
"Primary","SUPER_9_unloc_1","9","false","Scaffold_9",702080,702080
"Primary","SUPER_9_unloc_2","9","false","Scaffold_9",268185,268185
"Primary","SUPER_10","10","true","Scaffold_10",186005517,185989817
"Primary","SUPER_10_unloc_1","10","false","Scaffold_10",245825,245825
"Primary","SUPER_11","11","true","Scaffold_11",183650825,183631225
"Primary","SUPER_11_unloc_1","11","false","Scaffold_11",1157615,1157315
"Primary","SUPER_11_unloc_2","11","false","Scaffold_11",694115,694115
"Primary","SUPER_12","12","true","Scaffold_12",185214970,185189270
"Primary","SUPER_12_unloc_1","12","false","Scaffold_12",236516,236516
"Primary","SUPER_13","13","true","Scaffold_13",181884689,181863889
"Primary","SUPER_13_unloc_1","13","false","Scaffold_13",902000,902000
"Primary","SUPER_14","14","true","Scaffold_14",180440827,180416927
"Primary","SUPER_14_unloc_1","14","false","Scaffold_14",504212,504212
"Primary","SUPER_15","15","true","Scaffold_15",178187547,178170247
"Primary","SUPER_16","16","true","Scaffold_16",174685051,174663151
"Primary","SUPER_16_unloc_1","16","false","Scaffold_16",927257,927257
"Primary","SUPER_16_unloc_2","16","false","Scaffold_16",616000,616000
"Primary","SUPER_17","17","true","Scaffold_17",175794695,175768495
"Primary","SUPER_18","18","true","Scaffold_18",173569291,173547991
