seq_name,chromosome,length
SUPER_1,1,265737432
SUPER_2,2,255897500
SUPER_2_unloc_1,2,1130778
SUPER_2_unloc_2,2,201000
SUPER_3,3,228106054
SUPER_3_unloc_1,3,1990640
SUPER_3_unloc_2,3,570149
SUPER_3_unloc_3,3,484824
SUPER_3_unloc_4,3,260854
SUPER_4,4,226242757
SUPER_4_unloc_1,4,1757162
SUPER_4_unloc_2,4,651000
SUPER_4_unloc_3,4,464862
SUPER_5,5,216007371
SUPER_6,6,205940098
SUPER_7,7,186394215
SUPER_7_unloc_1,7,1146065
SUPER_7_unloc_2,7,569210
SUPER_7_unloc_3,7,126000
SUPER_8,8,186389387
SUPER_8_unloc_1,8,936689
SUPER_9,9,185714064
SUPER_9_unloc_1,9,702080
SUPER_9_unloc_2,9,268185
SUPER_9_unloc_3,9,80975
SUPER_10,10,186005517
SUPER_10_unloc_1,10,245825
SUPER_11,11,183650825
SUPER_11_unloc_1,11,1157615
SUPER_11_unloc_2,11,694115
SUPER_12,12,185214970
SUPER_12_unloc_1,12,236516
SUPER_13,13,181884689
SUPER_13_unloc_1,13,902000
SUPER_14,14,180440827
SUPER_14_unloc_1,14,504212
SUPER_15,15,178187547
SUPER_16,16,174685051
SUPER_16_unloc_1,16,927257
SUPER_16_unloc_2,16,616000
SUPER_17,17,175794695
SUPER_18,18,173569291
SUPER_19,19,169231278
SUPER_20,20,168010722
SUPER_21,21,167705873
SUPER_22,22,159932840
SUPER_22_unloc_1,22,370689
SUPER_23,23,159834116
SUPER_24,24,159789211
SUPER_25,25,156921798
SUPER_26,26,152366514
SUPER_27,27,147382143
SUPER_27_unloc_1,27,1581089
SUPER_27_unloc_2,27,787445
SUPER_28,28,149438309
SUPER_29,29,138982941
SUPER_29_unloc_1,29,2787207
SUPER_29_unloc_2,29,2378252
SUPER_29_unloc_3,29,1982312
SUPER_29_unloc_4,29,1209103
SUPER_30,30,147303349
SUPER_31,31,146090775
SUPER_32,32,140261298
SUPER_32_unloc_1,32,5655560
SUPER_33,33,144564452
SUPER_34,34,143993395
SUPER_35,35,142141817
SUPER_35_unloc_1,35,551391
SUPER_36,36,139436358
SUPER_36_unloc_1,36,707993
SUPER_37,37,139418510
SUPER_38,38,139122655
SUPER_39,39,136566110
SUPER_39_unloc_1,39,1034678
SUPER_40,40,137589210
SUPER_41,41,135699898
SUPER_41_unloc_1,41,498000
SUPER_41_unloc_2,41,283064
SUPER_42,42,134130412
SUPER_42_unloc_1,42,615627
SUPER_42_unloc_2,42,149129
SUPER_43,43,129524317
SUPER_43_unloc_1,43,1958825
SUPER_43_unloc_2,43,852570
SUPER_44,44,126101487
SUPER_44_unloc_1,44,196825
SUPER_45,45,125050592
SUPER_45_unloc_1,45,299029
SUPER_45_unloc_2,45,202646
SUPER_46,46,124022042
SUPER_47,47,123407248
SUPER_48,48,123171431
SUPER_49,49,121548976
SUPER_49_unloc_1,49,1432511
SUPER_50,50,121170915
SUPER_50_unloc_1,50,892532
SUPER_50_unloc_2,50,435000
SUPER_51,51,120982435
SUPER_51_unloc_1,51,1461929
SUPER_52,52,107422526
SUPER_52_unloc_1,52,4928051
SUPER_52_unloc_2,52,1949840
SUPER_52_unloc_3,52,1661304
SUPER_52_unloc_4,52,1540027
SUPER_52_unloc_5,52,1539000
SUPER_52_unloc_6,52,958573
SUPER_52_unloc_7,52,777322
SUPER_52_unloc_8,52,355179
SUPER_53,53,120178429
SUPER_53_unloc_1,53,882000
SUPER_54,54,119241040
SUPER_54_unloc_1,54,1292100
SUPER_55,55,116359897
SUPER_55_unloc_1,55,359706
SUPER_56,56,112923624
SUPER_57,57,111942871
SUPER_58,58,110316603
SUPER_58_unloc_1,58,614846
SUPER_59,59,110502198
SUPER_60,60,109789634
SUPER_61,61,108995832
SUPER_62,62,107520514
SUPER_62_unloc_1,62,1029544
SUPER_63,63,106540022
SUPER_63_unloc_1,63,463602
SUPER_64,64,106567072
SUPER_65,65,104573810
SUPER_65_unloc_1,65,734754
SUPER_65_unloc_2,65,568789
SUPER_66,66,101500807
SUPER_66_unloc_1,66,2046000
SUPER_66_unloc_2,66,1802000
SUPER_67,67,105107337
SUPER_68,68,99493035
SUPER_68_unloc_1,68,2893147
SUPER_68_unloc_2,68,2330790
SUPER_69,69,100724566
SUPER_69_unloc_1,69,2829057
SUPER_69_unloc_2,69,1148854
SUPER_70,70,100845898
SUPER_70_unloc_1,70,1044000
SUPER_70_unloc_2,70,714106
SUPER_71,71,101636333
SUPER_72,72,100827702
SUPER_73,73,100819789
SUPER_74,74,94194118
SUPER_75,75,93654405
SUPER_75_unloc_1,75,244200
SUPER_76,76,93846417
SUPER_77,77,93116240
SUPER_78,78,92527186
SUPER_79,79,89126695
SUPER_79_unloc_1,79,1260435
SUPER_79_unloc_2,79,589942
SUPER_80,80,88802042
SUPER_81,81,88434474
SUPER_81_unloc_1,81,102908
SUPER_82,82,77247499
SUPER_82_unloc_1,82,1551514
SUPER_82_unloc_2,82,743024
SUPER_82_unloc_3,82,660965
SUPER_82_unloc_4,82,586000
SUPER_83,83,77792042
SUPER_84,84,71861854
SUPER_85,85,71049387
SUPER_86,86,69921369
SUPER_87,87,67775505
SUPER_88,88,65690340
SUPER_88_unloc_1,88,1525231
SUPER_89,89,63138349
SUPER_90,90,51091565
